Dataset,Model,Accuracy,Sensitivity,Specificity,Precision,F1-score,AUC
D1,LogisticRegression,0.7872763419483101,0.7166666666666667,0.7968397291196389,0.3233082706766917,0.44559585492227977,0.8319789315274642
D1,RandomForest,0.904572564612326,0.4166666666666667,0.9706546275395034,0.6578947368421053,0.5102040816326531,0.8494356659142211
D1,AdaBoost,0.882703777335984,0.45,0.9413092550790068,0.5094339622641509,0.4778761061946903,0.8459367945823927
D2,LogisticRegression,0.6166666666666667,0.6564748201438849,0.5932203389830508,0.48731642189586116,0.5593869731800766,0.6934253444701866
D2,RandomForest,0.73,0.5269784172661871,0.8495762711864406,0.6735632183908046,0.591321897073663,0.7332994832947202
D2,AdaBoost,0.7013333333333334,0.5683453237410072,0.7796610169491526,0.6030534351145038,0.5851851851851851,0.7096838419095233
D3,LogisticRegression,0.7448888888888889,0.8394024276377218,0.7153689122193059,0.47946666666666665,0.6103190767141887,0.8022722649864845
D3,RandomForest,0.982,0.9645191409897292,0.9874599008457277,0.9600371747211895,0.9622729389846297,0.9925751383473581
D3,AdaBoost,0.8824444444444445,0.9663865546218487,0.8562263050452027,0.6773560209424084,0.7964601769911505,0.9631313787301642
D4,LogisticRegression,0.5309734513274337,0.5555555555555556,0.5059523809523809,0.5337078651685393,0.5444126074498568,0.5334864940128098
D4,RandomForest,0.5781710914454278,0.5321637426900585,0.625,0.5909090909090909,0.56,0.6439362294625451
D4,AdaBoost,0.5162241887905604,0.631578947368421,0.39880952380952384,0.5167464114832536,0.5684210526315789,0.5250800612642718
