Dataset,Model,Accuracy,Sensitivity,Specificity,Precision,F1-score,AUC
D1,LogisticRegression,0.7912524850894632,0.7333333333333333,0.7990970654627539,0.3308270676691729,0.45595854922279794,0.8270504138449961
D1,RandomForest,0.904572564612326,0.38333333333333336,0.9751693002257337,0.6764705882352942,0.48936170212765956,0.8384687735139202
D1,AdaBoost,0.8886679920477137,0.45,0.9480812641083521,0.54,0.4909090909090909,0.8428141459744168
D2,LogisticRegression,0.626,0.6492805755395683,0.6122881355932204,0.4965612104539202,0.5627435697583788,0.6928594835995611
D2,RandomForest,0.734,0.5197841726618705,0.8601694915254238,0.6864608076009501,0.5916069600818833,0.7322420665162785
D2,AdaBoost,0.7073333333333334,0.5449640287769785,0.8029661016949152,0.6196319018404908,0.5799043062200957,0.7058828572735032
D3,LogisticRegression,0.7335555555555555,0.7936507936507936,0.7147856517935258,0.4649890590809628,0.5864091065884788,0.7971865717221077
D3,RandomForest,0.9851111111111112,0.9626517273576097,0.9921259842519685,0.9744801512287334,0.968529826209488,0.9931387933806749
D3,AdaBoost,0.8586666666666667,0.954248366013072,0.8288130650335375,0.6351771286513362,0.7626865671641792,0.9537703484232227
D4,LogisticRegression,0.5132743362831859,0.5263157894736842,0.5,0.5172413793103449,0.5217391304347826,0.5234266221108327
D4,RandomForest,0.5752212389380531,0.5321637426900585,0.6190476190476191,0.5870967741935483,0.558282208588957,0.6267056530214425
D4,AdaBoost,0.5132743362831859,0.6257309941520468,0.39880952380952384,0.5144230769230769,0.5646437994722955,0.5276385407964356
