Dataset,Model,Accuracy,Sensitivity,Specificity,Precision,F1-score,AUC
D1,LogisticRegression,0.8330019880715706,0.6333333333333333,0.8600451467268623,0.38,0.475,0.8157637321294205
D1,RandomForest,0.9025844930417495,0.36666666666666664,0.9751693002257337,0.6666666666666666,0.4731182795698925,0.8259405568096313
D1,AdaBoost,0.8747514910536779,0.5,0.9255079006772009,0.47619047619047616,0.4878048780487805,0.8472159518434914
D2,LogisticRegression,0.6513333333333333,0.60431654676259,0.6790254237288136,0.5258215962441315,0.5623430962343097,0.689309992683819
D2,RandomForest,0.73,0.5053956834532374,0.8622881355932204,0.683698296836983,0.5811789038262668,0.7354552798439215
D2,AdaBoost,0.7126666666666667,0.552158273381295,0.8072033898305084,0.6278118609406953,0.5875598086124402,0.7063791763199609
D3,LogisticRegression,0.718,0.8253968253968254,0.68445610965296,0.4496439471007121,0.5821534408956207,0.771792687134152
D3,RandomForest,0.988,0.9663865546218487,0.994750656167979,0.9829059829059829,0.9745762711864406,0.9935430184516696
D3,AdaBoost,0.8828888888888888,0.9449112978524743,0.863517060367454,0.6837837837837838,0.7934143473147786,0.959552577714278
D4,LogisticRegression,0.5427728613569321,0.52046783625731,0.5654761904761905,0.5493827160493827,0.5345345345345346,0.5374895572263994
D4,RandomForest,0.5929203539823009,0.5614035087719298,0.625,0.6037735849056604,0.5818181818181818,0.6432052353104984
D4,AdaBoost,0.5427728613569321,0.5497076023391813,0.5357142857142857,0.5465116279069767,0.5481049562682215,0.5228348649401281
