Dataset,Model,Accuracy,Sensitivity,Specificity,Precision,F1-score,AUC
D1,LogisticRegression,0.6978131212723658,0.8666666666666667,0.6749435665914221,0.2653061224489796,0.40625,0.8312641083521445
D1,RandomForest,0.8508946322067594,0.6666666666666666,0.8758465011286681,0.42105263157894735,0.5161290322580645,0.8417042889390519
D1,AdaBoost,0.8349900596421471,0.7166666666666667,0.8510158013544018,0.3944954128440367,0.5088757396449705,0.845372460496614
D2,LogisticRegression,0.5866666666666667,0.7571942446043165,0.486228813559322,0.46467991169977924,0.5759233926128591,0.694757118034386
D2,RandomForest,0.7193333333333334,0.6241007194244604,0.7754237288135594,0.6207513416815742,0.6224215246636772,0.7329651109620777
D2,AdaBoost,0.6333333333333333,0.7032374100719424,0.5921610169491526,0.5038659793814433,0.5870870870870871,0.7064649128155103
D3,LogisticRegression,0.7482222222222222,0.7899159663865546,0.7351997666958296,0.4823261117445838,0.5989380530973452,0.8154555299323968
D3,RandomForest,0.9837777777777778,0.9514472455648926,0.9938757655293088,0.9798076923076923,0.965419232591189,0.9888144428569523
D3,AdaBoost,0.9291111111111111,0.9411764705882353,0.9253426655001458,0.7974683544303798,0.8633832976445396,0.9761987812525614
D4,LogisticRegression,0.5309734513274337,0.543859649122807,0.5178571428571429,0.5344827586206896,0.5391304347826087,0.5547201336675021
D4,RandomForest,0.5427728613569321,0.5263157894736842,0.5595238095238095,0.5487804878048781,0.5373134328358209,0.5682435254803675
D4,AdaBoost,0.5368731563421829,0.5380116959064327,0.5357142857142857,0.5411764705882353,0.5395894428152492,0.5670252018936229
