Dataset,Model,Accuracy,Sensitivity,Specificity,Precision,F1-score,AUC
D1,LogisticRegression,0.7773359840954275,0.7333333333333333,0.7832957110609481,0.3142857142857143,0.44,0.8366817155756208
D1,RandomForest,0.9065606361829026,0.4166666666666667,0.9729119638826185,0.6756756756756757,0.5154639175257731,0.8405379984951091
D1,AdaBoost,0.8807157057654076,0.4666666666666667,0.9367945823927766,0.5,0.4827586206896552,0.8472535741158767
D2,LogisticRegression,0.6386666666666667,0.6294964028776978,0.6440677966101694,0.5102040816326531,0.5636070853462157,0.6925489269601268
D2,RandomForest,0.7273333333333334,0.49640287769784175,0.8633474576271186,0.6814814814814815,0.5744016649323621,0.7288630959639067
D2,AdaBoost,0.718,0.5449640287769785,0.8199152542372882,0.6405919661733616,0.5889212827988338,0.7065801807706378
D3,LogisticRegression,0.752,0.7684407096171803,0.7468649752114319,0.4866942637492608,0.5959449674149168,0.8147170601496163
D3,RandomForest,0.9895555555555555,0.965452847805789,0.9970836978710994,0.9904214559386973,0.9777777777777777,0.993113061303067
D3,AdaBoost,0.9284444444444444,0.9402427637721755,0.9247594050743657,0.7960474308300395,0.8621575342465754,0.9767651592570537
D4,LogisticRegression,0.5103244837758112,0.5146198830409356,0.5059523809523809,0.5146198830409356,0.5146198830409356,0.5252715121136173
D4,RandomForest,0.6047197640117994,0.5614035087719298,0.6488095238095238,0.6193548387096774,0.588957055214724,0.654901141743247
D4,AdaBoost,0.49852507374631266,0.2222222222222222,0.7797619047619048,0.5066666666666667,0.3089430894308943,0.5066137566137566
