Dataset,Model,Accuracy,Sensitivity,Specificity,Precision,F1-score,AUC
D1,LogisticRegression,0.7773359840954275,0.7333333333333333,0.7832957110609481,0.3142857142857143,0.44,0.8366817155756208
D1,RandomForest,0.9085487077534792,0.43333333333333335,0.9729119638826185,0.6842105263157895,0.5306122448979592,0.8361550037622272
D1,AdaBoost,0.8807157057654076,0.4666666666666667,0.9367945823927766,0.5,0.4827586206896552,0.8472535741158767
D2,LogisticRegression,0.6366666666666667,0.6312949640287769,0.6398305084745762,0.507959479015919,0.5629510825982358,0.6927451682721619
D2,RandomForest,0.7266666666666667,0.5017985611510791,0.8591101694915254,0.6771844660194175,0.5764462809917356,0.7316409584197049
D2,AdaBoost,0.724,0.5413669064748201,0.8315677966101694,0.6543478260869565,0.59251968503937,0.7088407663699549
D3,LogisticRegression,0.7522222222222222,0.7684407096171803,0.7471566054243219,0.48698224852071004,0.5961608113002536,0.8147753317327708
D3,RandomForest,0.9888888888888889,0.965452847805789,0.9962088072324293,0.9875835721107927,0.9763928234183191,0.991698341628865
D3,AdaBoost,0.9333333333333333,0.9393090569561158,0.931466899970837,0.8106365834004835,0.870242214532872,0.976414712866774
D4,LogisticRegression,0.528023598820059,0.52046783625731,0.5357142857142857,0.5329341317365269,0.5266272189349113,0.5299707602339182
D4,RandomForest,0.5781710914454278,0.52046783625731,0.6369047619047619,0.5933333333333334,0.5545171339563862,0.6291248955722638
D4,AdaBoost,0.5073746312684366,0.4678362573099415,0.5476190476190477,0.5128205128205128,0.4892966360856269,0.5245579225842384
